Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
252,Damian Jones,C,28,CLE,25,0,6,0.7,1.3,0.531,0.1,0.3,0.286,0.6,1,0.6,0.563,0.4,0.4,0.909,0.4,1,1.3,0.5,0.1,0.4,0.4,0.6,1.8,jonesda03
253,Derrick Jones Jr.,SF,26,DAL,55,47,24.2,3.3,6.8,0.481,1.1,3.4,0.339,2.1,3.4,0.624,0.566,1.3,1.7,0.729,1.1,2.5,3.5,1,0.7,0.7,0.9,1.7,8.9,jonesde02
254,Herbert Jones,SF,25,NOP,56,56,29.4,4.1,7.9,0.514,1.5,3.5,0.429,2.6,4.4,0.581,0.609,1.8,2.1,0.852,1.1,2.5,3.6,2.4,1.3,0.8,1.2,2.9,11.4,joneshe01
255,Mason Jones,SG,25,SAC,1,0,13,0,3,0,0,2,0,0,1,0,0,1,2,0.5,1,3,4,4,0,0,0,0,1,jonesma05
256,Tre Jones,PG,24,SAS,55,26,26.4,3.9,7.6,0.512,0.7,2.3,0.32,3.1,5.2,0.597,0.561,1.4,1.6,0.872,0.7,2.6,3.3,5.9,1,0.1,1.5,1.2,9.9,jonestr01
257,Tyus Jones,PG,27,WAS,60,60,29.2,5,10.2,0.493,1.6,3.8,0.418,3.5,6.4,0.536,0.57,0.5,0.6,0.789,0.3,2.4,2.7,7.3,1.1,0.3,1,0.8,12.1,jonesty01
258,DeAndre Jordan,C,35,DEN,29,1,11.3,1.7,2.6,0.632,0,0,,1.7,2.6,0.632,0.632,0.8,1.7,0.449,1.7,2.9,4.6,0.7,0.2,0.4,0.7,1.7,4.1,jordade01
259,Cory Joseph,PG,32,GSW,26,0,11.4,0.9,2.5,0.359,0.5,1.6,0.31,0.4,0.8,0.455,0.461,0.2,0.3,0.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1,2.4,josepco01
260,Nikola Jović,PF,20,MIA,25,17,17,2.1,4.9,0.431,1.2,2.6,0.453,1,2.4,0.407,0.549,0.6,1,0.538,0.7,3.4,4.1,1.8,0.4,0.3,1,1.8,6,jovicni01
261,Johnny Juzang,SG,22,UTA,3,0,3,0,1.3,0,0,1.3,0,0,0,,0,0,0,,0,0,0,0.3,0,0,0,0.3,0,juzanjo01
262,Luke Kennard,SG,27,MEM,29,13,24.7,3.5,7.8,0.445,2.7,6,0.448,0.8,1.8,0.434,0.617,1.1,1.2,0.861,0.3,2.6,2.9,2.9,0.5,0,1,1.1,10.7,kennalu01
263,Walker Kessler,C,22,UTA,51,17,23.3,3.7,5.7,0.652,0.1,0.4,0.211,3.7,5.4,0.682,0.659,0.9,1.6,0.568,2.5,4.9,7.4,0.9,0.5,2.7,1,2.1,8.5,kesslwa01
264,Braxton Key,SF,26,DEN,17,0,3.2,0.4,0.9,0.375,0.1,0.2,0.25,0.3,0.7,0.417,0.406,0.2,0.4,0.667,0.2,0.6,0.8,0.5,0.1,0.1,0.1,0.3,1,keybr01
265,Corey Kispert,SF,24,WAS,58,2,22.8,4.5,9.2,0.483,2.1,5.6,0.367,2.4,3.6,0.665,0.595,1.4,1.8,0.767,0.3,2.2,2.5,1.7,0.4,0.2,1.1,1.6,12.4,kispeco01
266,Maxi Kleber,C,32,DAL,23,7,22.1,1.9,4.2,0.448,0.9,2.4,0.357,1,1.7,0.575,0.552,0.7,1.2,0.63,0.7,2.8,3.5,1.7,0.3,0.7,0.9,1.9,5.3,klebima01
267,Kevin Knox,SF,24,DET,31,11,18.1,2.8,6,0.462,1,3,0.33,1.8,3,0.598,0.546,0.6,0.7,0.909,0.6,1.8,2.4,0.7,0.4,0.2,0.7,1.6,7.2,knoxke01
268,John Konchar,SF,27,MEM,45,15,19.5,1.5,3.6,0.426,0.6,2,0.297,0.9,1.6,0.592,0.509,0.3,0.4,0.813,1.2,3.1,4.3,1.8,0.8,0.9,0.6,1.2,4,konchjo01
269,Furkan Korkmaz,SG,26,PHI,35,0,8.6,0.9,2.2,0.395,0.4,1.1,0.35,0.5,1,0.444,0.487,0.4,0.6,0.7,0.1,0.7,0.9,0.7,0.4,0.1,0.3,0.5,2.5,korkmfu01
270,Luke Kornet,C,28,BOS,42,2,14.7,2.1,3,0.698,0,0,,2.1,3,0.698,0.698,0.7,0.8,0.886,1.8,2,3.9,0.9,0.4,1,0.4,1.4,4.9,kornelu01
271,Vit Krejci,PG,23,ATL,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,krejcvi01
272,Jonathan Kuminga,PF,21,GSW,58,32,25.7,6,11.3,0.533,0.7,2.3,0.303,5.3,9,0.591,0.563,3,4.1,0.728,1.3,3.5,4.8,2.1,0.7,0.5,1.6,2.1,15.7,kuminjo01
273,Kyle Kuzma,PF,28,WAS,58,58,31.9,8.7,18.9,0.462,2.3,6.8,0.342,6.4,12.1,0.53,0.524,2.4,3.1,0.782,1,5.6,6.6,4,0.5,0.7,2.7,2.2,22.2,kuzmaky01
274,Jock Landale,C,28,HOU,33,0,8.9,0.9,2.3,0.387,0.1,0.5,0.111,0.8,1.7,0.474,0.4,0.5,0.7,0.773,1.3,0.9,2.2,0.6,0.2,0.4,0.4,0.9,2.3,landajo01
275,Jake LaRavia,PF,22,MEM,15,0,14.1,1.9,5.2,0.372,0.7,2.7,0.244,1.3,2.5,0.514,0.436,0.7,0.9,0.786,0.9,1.3,2.1,0.9,0.3,0.2,0.5,1.7,5.3,laravja01
276,Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,lavinza01
277,A.J. Lawson,SG,23,DAL,28,0,8.3,1.4,3,0.471,0.5,1.4,0.325,1,1.6,0.6,0.547,0.4,0.7,0.632,0.4,0.8,1.2,0.5,0.3,0.1,0.4,0.7,3.8,lawsoaj01
278,Saben Lee,PG,24,PHO,16,0,7.7,0.9,2.3,0.417,0.1,0.6,0.1,0.9,1.6,0.538,0.431,1.6,2.1,0.758,0.4,1.1,1.5,1.3,0.4,0.2,0.4,0.4,3.5,leesa01
279,Alex Len,C,30,SAC,25,0,8.7,1.2,2,0.592,0,0.1,0,1.2,1.8,0.63,0.592,0.3,0.7,0.412,1.2,1.7,2.9,0.9,0.3,0.5,0.6,1.1,2.6,lenal01
280,Kawhi Leonard,SF,32,LAC,53,53,34.3,9,17.1,0.527,2.2,5.1,0.438,6.8,12,0.565,0.593,3.7,4.2,0.892,1.2,5,6.2,3.7,1.7,0.8,1.7,1.5,24,leonaka01
281,Caris LeVert,SG,29,CLE,48,1,27.7,5.1,12.3,0.418,1.6,5,0.331,3.5,7.3,0.479,0.486,2.2,2.9,0.759,0.5,3.3,3.8,4.7,0.9,0.5,1.5,1.8,14.1,leverca01
282,Kira Lewis Jr.,PG,22,TOT,19,0,8.1,0.9,2.8,0.315,0.1,1.1,0.095,0.8,1.7,0.455,0.333,0.5,0.6,0.909,0.3,0.5,0.8,1.1,0.3,0.1,0.4,0.5,2.4,lewiski01
282,Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,0.308,0.1,1.3,0.1,0.9,2.1,0.438,0.327,0.7,0.7,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9,lewiski01
282,Kira Lewis Jr.,PG,22,TOR,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,lewiski01
282,Kira Lewis Jr.,PG,22,UTA,3,0,2.3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,,0.3,0,0.3,1,0.3,0,0,0,0.7,lewiski01
283,Maxwell Lewis,SF,21,LAL,20,0,3.5,0.2,0.6,0.25,0.1,0.2,0.333,0.1,0.5,0.222,0.292,0,0,,0.1,0.1,0.2,0.2,0.1,0,0.3,0.2,0.4,lewisma05
284,E.J. Liddell,PF,23,NOP,8,0,2.9,0.1,0.8,0.167,0,0.6,0,0.1,0.1,1,0.167,0.3,0.3,1,0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,liddeej01
285,Damian Lillard,PG,33,MIL,56,56,34.8,7.3,17.3,0.42,2.9,8.5,0.345,4.4,8.9,0.492,0.505,6.7,7.3,0.924,0.5,3.8,4.4,6.8,1.1,0.2,2.6,1.8,24.2,lillada01
286,Nassir Little,SF,23,PHO,34,2,12.5,1.4,3.1,0.458,0.6,1.8,0.317,0.9,1.4,0.638,0.547,0.5,0.6,0.85,0.4,1.7,2.1,0.6,0.3,0.3,0.4,1.1,3.9,littlna01
287,Dereck Lively II,C,19,DAL,42,40,25,4.1,5.5,0.751,0,0,0,4.1,5.4,0.758,0.751,0.9,1.7,0.529,2.7,4.7,7.4,1.2,0.7,1.5,1,2.8,9.1,livelde01
288,Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5,0.345,1,3.3,0.286,0.8,1.7,0.462,0.44,0.5,0.8,0.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5,liveris01
289,Chris Livingston,SF,20,MIL,16,0,4.3,0.4,1,0.438,0.1,0.2,0.333,0.4,0.8,0.462,0.469,0.1,0.1,1,0.1,0.8,0.9,0.3,0.1,0,0.3,0.7,1.1,livinch01
290,Kenneth Lofton Jr.,PF,21,TOT,17,0,6.4,0.9,2.5,0.349,0.2,0.7,0.25,0.7,1.8,0.387,0.384,0.5,0.9,0.533,0.1,0.9,1.1,0.8,0.2,0.2,0.5,0.9,2.4,loftoke01
290,Kenneth Lofton Jr.,PF,21,MEM,15,0,6.6,0.9,2.5,0.378,0.2,0.7,0.3,0.7,1.8,0.407,0.419,0.5,1,0.533,0.1,0.9,1,0.9,0.2,0.2,0.4,1,2.6,loftoke01
290,Kenneth Lofton Jr.,PF,21,PHI,2,0,4.5,0.5,3,0.167,0,1,0,0.5,2,0.25,0.167,0,0,,0,1.5,1.5,0,0,0,1,0,1,loftoke01
291,Kevon Looney,C,27,GSW,59,36,17.2,1.9,3.2,0.603,0,0,0,1.9,3.2,0.606,0.603,0.7,1.1,0.672,2.1,4,6.1,2.1,0.4,0.4,0.7,2.2,4.6,looneke01
292,Brook Lopez,C,35,MIL,58,58,31.2,4.8,10,0.479,1.8,5.3,0.346,2.9,4.7,0.629,0.571,1.4,1.6,0.842,1.5,3.9,5.4,1.7,0.6,2.7,0.9,2.5,12.8,lopezbr01
293,Robin Lopez,C,35,MIL,16,2,4.1,0.4,1.2,0.368,0.1,0.5,0.25,0.3,0.7,0.455,0.421,0.1,0.1,1,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,lopezro01
294,Kevin Love,PF,35,MIA,47,5,17.5,2.9,6.5,0.443,1.6,4.5,0.349,1.3,2,0.656,0.564,1.7,2.2,0.779,1.1,5.1,6.2,2.2,0.3,0.2,0.8,1.8,9,loveke01
295,Kyle Lowry,PG,37,TOT,41,36,27.9,2.8,6.4,0.437,1.6,4.2,0.39,1.2,2.2,0.527,0.565,0.9,1.1,0.844,0.7,2.8,3.5,4.1,1,0.4,1.4,2.5,8.2,lowryky01
295,Kyle Lowry,PG,37,MIA,37,35,28,2.8,6.5,0.426,1.7,4.4,0.385,1.1,2.2,0.506,0.554,0.9,1.1,0.833,0.7,2.8,3.5,4,1.1,0.4,1.4,2.5,8.2,lowryky01
295,Kyle Lowry,PG,37,PHI,4,1,26.5,3,5.3,0.571,1.3,2.8,0.455,1.8,2.5,0.7,0.69,0.8,0.8,1,0.8,2.8,3.5,5.5,1,0,1.5,2,8,lowryky01
296,Seth Lundy,SF,23,ATL,9,0,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.1,0.4,0.25,0.324,0.3,0.4,0.75,0.1,0.7,0.8,0,0,0,0.1,0.7,1.6,lundyse01
297,Trey Lyles,PF,28,SAC,44,0,19.8,2.5,5.4,0.456,1.5,3.8,0.399,0.9,1.6,0.594,0.597,0.8,1.2,0.667,1,3.5,4.5,1.2,0.3,0.3,0.7,1.6,7.3,lylestr01
298,Théo Maledon,PG,22,TOT,16,1,13.3,1.3,4.3,0.29,0.3,1.9,0.167,0.9,2.4,0.385,0.326,0.9,0.9,0.933,0.3,1.3,1.5,1.8,0.4,0,1.1,1.3,3.7,maledth01
298,Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,0.288,0.4,2.3,0.167,1.1,2.8,0.389,0.326,0.8,0.9,0.917,0.3,1.5,1.8,2.2,0.5,0,1.2,1.4,4.2,maledth01
298,Théo Maledon,PG,22,PHO,3,0,4,0.3,1,0.333,0,0,,0.3,1,0.333,0.333,1,1,1,0,0.3,0.3,0,0,0,1,1,1.7,maledth01
299,Sandro Mamukelashvili,C,24,SAS,32,0,6.6,1,2.2,0.437,0.3,1.1,0.235,0.7,1.2,0.622,0.493,0.4,0.5,0.706,0.6,1.2,1.8,0.9,0.2,0.3,0.3,0.7,2.6,mamuksa01
300,Terance Mann,SG,27,LAC,52,48,25.4,3.2,6.5,0.487,0.9,2.8,0.32,2.3,3.7,0.615,0.556,0.9,1.1,0.776,1.3,2.2,3.5,1.8,0.5,0.2,0.6,1.8,8.1,mannte01
301,Tre Mann,PG,22,TOT,22,9,17.7,2.6,6,0.443,1,2.6,0.404,1.6,3.4,0.473,0.531,0.6,0.8,0.778,0.4,2.8,3.2,2.9,0.8,0,1,1,7,manntr01
301,Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,0.5,0.6,1.5,0.421,0.9,1.6,0.571,0.6,0.1,0.1,1,0.3,1.5,1.8,1.5,0.2,0,0.7,0.2,3.8,manntr01
301,Tre Mann,PG,22,CHO,9,9,30.1,4.2,10.1,0.418,1.7,4.2,0.395,2.6,5.9,0.434,0.5,1.4,1.9,0.765,0.6,4.7,5.2,4.9,1.6,0,1.6,2,11.6,manntr01
302,Boban Marjanović,C,35,HOU,9,0,5.3,1.1,2.3,0.476,0,0.2,0,1.1,2.1,0.526,0.476,0.3,0.7,0.5,0.7,1.8,2.4,0.4,0,0.1,0.2,0.4,2.6,marjabo01
303,Lauri Markkanen,PF,26,UTA,50,50,32.7,7.8,16.1,0.486,3.2,8,0.4,4.6,8.1,0.571,0.585,4.2,4.8,0.887,2.3,6.1,8.3,1.9,0.8,0.5,1.3,1.8,23,markkla01
304,Naji Marshall,SF,26,NOP,49,1,18.9,2.4,5.4,0.447,0.8,2.2,0.37,1.6,3.2,0.5,0.523,1.3,1.6,0.785,0.9,2.6,3.5,2,0.7,0.2,1.1,1.4,6.9,marshna01
305,Caleb Martin,SF,28,MIA,42,19,27,3.9,8.6,0.452,1.2,3.2,0.376,2.7,5.4,0.496,0.521,1.2,1.6,0.758,1.3,3.4,4.6,2.1,0.7,0.3,1.2,2.1,10.1,martica02
306,Cody Martin,SF,28,CHO,28,22,26.9,2.9,7.7,0.381,1,3.1,0.314,2,4.6,0.426,0.444,0.7,1.2,0.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5,martico01
307,KJ Martin,SF,23,TOT,42,2,11.5,1.5,2.8,0.551,0.1,0.5,0.25,1.4,2.3,0.612,0.572,0.3,0.7,0.483,0.4,1.4,1.8,0.7,0.4,0.1,0.5,1.5,3.5,martike04
307,KJ Martin,SF,23,LAC,2,0,15.5,2,5,0.4,0.5,2.5,0.2,1.5,2.5,0.6,0.45,0.5,1,0.5,0.5,1,1.5,0.5,1,0.5,1,1.5,5,martike04
307,KJ Martin,SF,23,PHI,40,2,11.3,1.5,2.7,0.565,0.1,0.4,0.267,1.4,2.3,0.613,0.583,0.3,0.7,0.481,0.4,1.4,1.9,0.8,0.4,0.1,0.5,1.5,3.5,martike04
308,Garrison Mathews,SG,27,ATL,43,4,12.7,1.1,2.6,0.434,1,2.4,0.427,0.1,0.2,0.5,0.628,0.2,0.3,0.667,0.2,1.1,1.3,0.5,0.3,0.1,0.3,1.6,3.5,mathega01
309,Bennedict Mathurin,SF,21,IND,57,19,26,5,11.2,0.449,1.4,3.6,0.38,3.7,7.6,0.482,0.51,3,3.6,0.827,1.1,3,4.1,2,0.6,0.2,1.7,2,14.5,mathube01
310,Wesley Matthews,SG,37,ATL,22,1,11.2,0.7,2.2,0.313,0.5,1.7,0.27,0.2,0.5,0.455,0.417,0.6,0.9,0.7,0.2,1.3,1.5,0.6,0.5,0.3,0.3,1.3,2.5,matthwe02
311,Tyrese Maxey,PG,23,PHI,54,54,37.4,9.1,20.2,0.447,3.1,8.1,0.38,6,12.1,0.493,0.524,4.9,5.6,0.868,0.6,3.2,3.8,6.3,1,0.5,1.7,2.2,26.1,maxeyty01
312,Skylar Mays,PG-SG,26,TOT,31,5,13.5,2,5,0.397,0.5,1.7,0.296,1.5,3.3,0.451,0.449,0.4,0.5,0.765,0.3,1,1.4,2.7,0.5,0.1,0.6,0.8,4.9,mayssk01
